AAP_Share_D         : 55254206302462116
FEAHWAZ_Share_D     : 44296315953738727
FEALUM_Share_D      : 19367527798307032
FEASMIN_Share_D     : 66701874099226162
FEBAHONAR_Share_D   : 66772024744156373
FEIRA_Share_D       : 65004959184388996
FEKHAS_Share_D      : 4733285133017464
FEKHOZ_Share_D      : 28864540805361867
FELOLEH_Share_D     : 48623320733330408
FEMAK_Share_D       : 35445515321658835
FEMELI_Share_D      : 35425587644337450
FEMORAD_Share_D     : 18004480270695404
FENAFT_Share_D      : 59342912854668427
FENAVAL_Share_D     : 57875847776839336
FENAVARD_Share_D    : 56324206651661881
FEOLAD_Share_D      : 46348559193224090
FEOLAJH_Share_D     : 40808043719554948
FEOLAY_Share_D      : 14800142337291217
FEPANTA_Share_D     : 68488673556087148
FEPARS_Share_D      : deleted
FEPORO_Share_D      : deleted
FEROM_Share_D       : deleted
FEROS_Share_D       : 54419429862704331
FEROY_Share_D       : 29974853866926823
FESADID_Share_D     : 20966291817819448
FESAZAN_Share_D     : 12874072841236826
FESEPA_Share_D      : 8977441217024425
FESORB_Share_D      : 54277068923045214
FEZARIN_Share_D     : 43716452378323683
FGHOTI_Share_D      : deleted
FJAM_Share_D        : 30765727085936322
FJOOSH_Share_D      : 64485827086284311
FLAMI_Share_D       : 25286509736208688
FLEZI_Share_D       : deleted
FNERGY_Share_D      : 63965059137798192
FOKA_Share_D        : 66514709341259550
FPAY_Share_D        : deleted
FSOLIR_Share_D      : 43026118635839182
GAZSEKE_Share_D     : 57551382352708199
GEKISH_Share_D      : 44665761767777759
GEKOWSAR_Share_D    : 66599109405217136
GEPARS_Share_D      : 59848307608894801
GESHAN_Share_D      : 70391097626818082
GHALBER_Share_D     : 24303422207378456
GHARN_Share_D       : 39610074039667804
GHASEM_Share_D      : 34540569618314880
GHAZVIN_Share_D     : 15259343650667588
GHEAZAR_Share_D     : 35158826900216508
GHEBAHAR_Share_D    : 71666521540545716
GHEBEHNOOSH_Share_D : 17059960254855208
GHEBESHAHR_Share_D  : 42387718866026650
GHECHAR_Share_D     : 23600798892801694
GHECHIN_Share_D     : 44850033148208596
GHEDAM_Share_D      : 2254054929817435
GHEDASHT_Share_D    : 2434703913394836
GHEDIS_Share_D      : 3492952121304423
GHEFARS_Share_D     : 16410724132711490
GHEGOLESTA_Share_D  : 64843936383937546
GHEGOL_Share_D      : 22299894048845903
GHEGORG_Share_D     : deleted
GHEGORJI_Share_D    : 31024260997481994
GHEHEKMAT_Share_D   : 14398278072324784
GHEJAHAN_Share_D    : deleted
GHEJAM_Share_D      : 28230238564334914
GHELOREST_Share_D   : 56820995669577571
GHEMAHRA_Share_D    : 6131290133202745
GHEMARG_Share_D     : 52975109254504632
GHEMARV_Share_D     : 43342306308122676
GHEMASHHAD_Share_D  : deleted
GHEMINOO_Share_D    : 5516102131364383
GHENAB_Share_D      : 42470251469508137
GHENAGHSH_Share_D   : 3050342257199174
GHENISHA_Share_D    : 63380098535169030
GHENOOSH_Share_D    : 48619517949257749
GHEOROOM_Share_D    : 10831074117626896
GHEPAK_Share_D      : 34032872653290886
GHEPARS_Share_D     : deleted
GHEPAZAR_Share_D    : 45518744711972166
GHEPICHAK_Share_D   : deleted
GHEPINO_Share_D     : 18401147983387689
GHEPIRA_Share_D     : 67030488744129337
GHEPONE_Share_D     : 33736447482634583
GHESABET_Share_D    : 44967158778304588
GHESALEM_Share_D    : 28672095850798501
GHESASA_Share_D     : deleted
GHESFAHA_Share_D    : 40411537531154482
GHESHAHD_Share_D    : 20487994977117557
GHESHAHDAB_Share_D  : 33611155027418901
GHESHAN_Share_D     : 31791737198597563
GHESHAZAR_Share_D   : 59921975187856916
GHESHERIN_Share_D   : 36671655475498480
GHESHESFA_Share_D   : 61506294208022391
GHESHIR_Share_D     : 71523986304961239
GHESHOCO_Share_D    : 51294484197536070
GHESINOO_Share_D    : 31316784129157162
GHESTAN_Share_D     : deleted
GHEVITA_Share_D     : 37842793167868642
GHEYSTOO_Share_D    : 4267564158935326
GHEYVAN_Share_D     : 50652985928800943
GHGILA_Share_D      : 57300230097485720
GHGOLPA_Share_D     : 14312030900097668
GHNILI_Share_D      : 21426277483799140
GHPARS_Share_D      : deleted
GHSHAHD_Share_D     : 20487994977117557#
GHSHEKAR_Share_D    : 35964395659427029
GOHARAN_Share_D     : 65018804181564924
HAFARI_Share_D      : 28809886765682162
HAMRAH_Share_D      : 68635710163497089
HASA_Share_D        : 44625249840480397
HASIR_Share_D       : 13281937213456378
HEARIA_Share_D      : 56798822689379375
HEBANDAR_Share_D    : 63704201144621295
HEFARS_Share_D      : 35424116338766901
HEJRAT_Share_D      : 5317427172344706
HEKESHTI_Share_D    : 60610861509165508
HEKHAZAR_Share_D    : 28253678449273505
HEKMAT_Share_D      : 7881099657101647
HEPARSA_Share_D     : 917857106093847
HEPETRO_Share_D     : 16369313804633525
HERAHSHA_Share_D    : 30443839313522574
HEREYL_Share_D      : 5564768007356822
HESINA_Share_D      : 1625149423498289
HETAYD_Share_D      : 3722699128879020
HETOOKA_Share_D     : 22260326095996531
HIWEB_Share_D       : 43362635835198978
HORMOZ_Share_D      : 70498485598181604
JAHROM_Share_D      : 49674915481184052
JAMPILEN_Share_D    : 27096851668435724
JAM_Share_D         : 32357363984168442
KALA4_Share_D       : deleted
KALA_Share_D        : 44549439964296944
KASPIAN_Share_D     : 28431095903407567
KAVEH_Share_D       : 60350996279289099
KAVIR_Share_D       : 43545527030854340
KAZERO_Share_D      : 16777570760181431
KBC_Share_D         : 62977319271289925
KBOURSE_Share_D     : 37366608481858080
KEABGEN_Share_D     : 10654052153538617
KEAMA_Share_D       : 4942127026063388
KEAZAR_Share_D      : 49353447565507376
KEBADE_Share_D      : 55979741213594029
KEBAFGH_Share_D     : 43256212620530446
KECERA_Share_D      : 4614779520007780
KECHAD_Share_D      : 18027801615184692
KECHINI_Share_D     : 53716725737664022
KEDAMA_Share_D      : 3623921205367364
KEDORI_Share_D      : deleted
KEFARAVAR_Share_D   : 49627523909849331
KEFPARS_Share_D     : 19471788163911687
KEFRA_Share_D       : 23837844039713715
KEGAZ_Share_D       : 62346804681275278
KEGHAZVI_Share_D    : 63499217872110599
KEGOHAR_Share_D     : 30703140537034664
KEGOL_Share_D       : 35700344742885862
KEHAFEZ_Share_D     : 32257753560585502
KEHAMEDA_Share_D    : 67206358287598044
KEHRAM_Share_D      : 25631699615003698
KEIGACH_Share_D     : deleted
KEITA_Share_D       : 45608932669358493
KEKHAKH_Share_D     : 16405556680571453
KELVAND_Share_D     : 32678431934327184
KEMANGANEZ_Share_D  : 50341528161302545
KEMARJAN_Share_D    : 50633804639547462
KEMASEH_Share_D     : 67690708346979840
KENOOR_Share_D      : 20411759370751096
KEPARS_Share_D      : 9698674686691945
KEPARVAR_Share_D    : 22941065011246116
KEPSHIR_Share_D     : 57639364758870873
KERAZI_Share_D      : 57086055330734195
KERMAN_Share_D      : 50792786683910016
KERMASHA_Share_D    : 38437201078089290
KEROOY_Share_D      : 22787503301679573
KESADAF_Share_D     : 42696242981550091
KESADI_Share_D      : 29122854902865456
KESAPA_Share_D      : 28325731560106431
KESAVEH_Share_D     : 25001509088465005
KESERAM_Share_D     : 20560887114747719
KESHARGH_Share_D    : 42690477960659940
KETABAS_Share_D     : 8977369674477111
KETOOKA_Share_D     : 65671173927025645
KETRAM_Share_D      : 24085906177899789
KEVARZ_Share_D      : deleted
KHAHAN_Share_D      : 7483280423474368
KHAVAR_Share_D      : 16315910303613772
KHAZIN_Share_D      : 42075223783409640
KHBAHMAN_Share_D    : 26824673819862694
KHCHARKESH_Share_D  : 33783140337377394
KHDIZEL_Share_D     : 38084304113529336
KHEBAZRES_Share_D   : 19310456400689867
